family,genus,species,taxonomic.rank,taxon,LME,FAO,habitat,reference.habitat,feeding.mode,reference.feeding.mode,tl,level.tl,reference.tl,body.shape,fin.shape,AR,level.AR,reference.AR,offspring.size,level.offspring.size,reference.offspring.size,spawning.type,reference.spawning.type,age.maturity,level.age.maturity,reference.age.maturity,fecundity,level.fecundity,reference.fecundity,length.infinity,growth.coefficient,level.growth,reference.growth,length.max,level.length.max,reference.length.max,age.max,level.age.max,reference.age.max
Alepocephalidae,Alepocephalus,tenebrosus,S,Alepocephalus tenebrosus,3,77,bathydemersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.50,spe,FroesePauly2018,fusiform,forked,1.30,gen,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,gen-ocean,FroesePauly2018,64,0.30,spe-LME,FroesePauly2018,61,spe,FroesePauly2018,38.0,gen,FroesePauly2018
Alepocephalidae,Alepocephalus,,G,Alepocephalus,3,67,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.67,genus,FroesePauly2018,fusiform,forked,1.30,gen,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from genus,,,,3754,gen-ocean,FroesePauly2018,64,0.30,gen-FAO,FroesePauly2018,42,gen-FAO,FroesePauly2018,38.0,gen,FroesePauly2018
Alepocephalidae,Alepocephalus,,G,Alepocephalus,8,21,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from genus,3.67,genus,FroesePauly2018,fusiform,forked,1.30,gen,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from genus,,,,3754,gen-ocean,FroesePauly2018,51,0.13,gen-ocean,FroesePauly2018,42,gen-LME,FroesePauly2018,38.0,gen,FroesePauly2018
Alepocephalidae,Bajacalifornia,burragei,S,Bajacalifornia burragei,3,77,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.89,gen,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-LME,FroesePauly2018,20,spe-LME,FroesePauly2018,4.0,spe-LME,FroesePauly2018
Alepocephalidae,Bajacalifornia,erimoensis,S,Bajacalifornia erimoensis,3,77,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.89,gen,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from genus,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-LME,FroesePauly2018,23,spe-ocean,FroesePauly2018,4.0,gen,FroesePauly2018
Alepocephalidae,Bajacalifornia,megalops,S,Bajacalifornia megalops,7,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.89,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,40,spe,FroesePauly2018,4.0,gen-FAO,FroesePauly2018
Alepocephalidae,Bajacalifornia,megalops,S,Bajacalifornia megalops,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.89,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,40,spe,FroesePauly2018,4.0,gen-FAO,FroesePauly2018
Alepocephalidae,Bathytroctes,microlepis,S,Bathytroctes microlepis,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,truncate,1.64,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,32,spe,FroesePauly2018,4.0,fam-FAO,FroesePauly2018
Alepocephalidae,Conocara,salmoneum,S,Conocara salmoneum,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,truncate,0.88,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,73,spe,FroesePauly2018,4.0,fam-FAO,FroesePauly2018
Alepocephalidae,Rouleina,attrita,S,Rouleina attrita,7,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,truncate,1.35,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,48,spe,FroesePauly2018,4.0,fam-FAO,FroesePauly2018
Alepocephalidae,Rouleina,attrita,S,Rouleina attrita,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,truncate,1.35,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,48,spe,FroesePauly2018,4.0,fam-FAO,FroesePauly2018
Alepocephalidae,Rouleina,maderensis,S,Rouleina maderensis,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,truncate,1.08,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,32,spe,FroesePauly2018,4.0,fam-FAO,FroesePauly2018
Alepocephalidae,Rouleina,,G,Rouleina,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,truncate,1.21,gen,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from genus,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,29,gen,FroesePauly2018,4.0,fam-FAO,FroesePauly2018
Alepocephalidae,Talismania,bifurcata,S,Talismania bifurcata,2,67,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.71,spe,FroesePauly2018,2.70,fam,FroesePauly2018,guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-FAO,FroesePauly2018,28,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Talismania,bifurcata,S,Talismania bifurcata,3,67,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.71,spe,FroesePauly2018,2.70,fam,FroesePauly2018,guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-LME,FroesePauly2018,28,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Talismania,bifurcata,S,Talismania bifurcata,3,77,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,0.71,spe,FroesePauly2018,2.70,fam,FroesePauly2018,guarder,FroesePauly2018,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-LME,FroesePauly2018,28,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Xenodermichthys,copei,S,Xenodermichthys copei,8,21,bathypelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.19,spe,FroesePauly2018,elongated,forked,1.40,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,31,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Xenodermichthys,copei,S,Xenodermichthys copei,20,27,bathypelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.19,spe,FroesePauly2018,elongated,forked,1.40,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-LME,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,31,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Xenodermichthys,copei,S,Xenodermichthys copei,24,27,bathypelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.19,spe,FroesePauly2018,elongated,forked,1.40,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-LME,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,31,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Xenodermichthys,copei,S,Xenodermichthys copei,25,27,bathypelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.19,spe,FroesePauly2018,elongated,forked,1.40,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-LME,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,31,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,Xenodermichthys,copei,S,Xenodermichthys copei,59,27,bathypelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,3.19,spe,FroesePauly2018,elongated,forked,1.40,spe,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-LME,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,31,spe,FroesePauly2018,26.0,fam,FroesePauly2018
Alepocephalidae,,,F,Alepocephalidae,3,67,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,1.19,fam,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-FAO,FroesePauly2018,20,fam-LME,FroesePauly2018,30.5,fam,FroesePauly2018
Alepocephalidae,,,F,Alepocephalidae,3,77,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,1.19,fam,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-ocean,FroesePauly2018,64,0.30,fam-FAO,FroesePauly2018,20,fam-LME,FroesePauly2018,30.5,fam,FroesePauly2018
Alepocephalidae,,,F,Alepocephalidae,7,21,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,1.19,fam,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-ocean,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,20,fam-LME,FroesePauly2018,30.5,fam,FroesePauly2018
Alepocephalidae,,,F,Alepocephalidae,25,27,bathydemersal,"FroesePauly2018, OBIS2018",generalist,inferred from family,3.67,family,FroesePauly2018,fusiform,forked,1.19,fam,FroesePauly2018,2.70,fam,FroesePauly2018,non-guarder,inferred from family,,,,3754,fam-FAO,FroesePauly2018,51,0.13,fam-ocean,FroesePauly2018,45,fam-LME,FroesePauly2018,30.5,fam,FroesePauly2018
Alopiidae,Alopias,superciliosus,S,Alopias superciliosus,5,31,pelagic,"FroesePauly2018, OBIS2018",piscivorous,FroesePauly2018,4.51,spe,FroesePauly2018,fusiform,heterocercal,2.49,spe,FroesePauly2018,1400.00,spe,Chen1997,bearer,FroesePauly2018,11.7,spe,FroesePauly2019,3,spe-ocean,FroesePauly2018,404,0.09,spe-ocean,FroesePauly2018,480,spe-ocean,FroesePauly2018,25.0,spe,FroesePauly2018
Alopiidae,Alopias,superciliosus,S,Alopias superciliosus,7,21,pelagic,"FroesePauly2018, OBIS2018",piscivorous,FroesePauly2018,4.51,spe,FroesePauly2018,fusiform,heterocercal,2.49,spe,FroesePauly2018,1400.00,spe,Chen1997,bearer,FroesePauly2018,11.7,spe,FroesePauly2019,3,spe-ocean,FroesePauly2018,404,0.09,spe-ocean,FroesePauly2018,480,spe-ocean,FroesePauly2018,25.0,spe,FroesePauly2018
Alopiidae,Alopias,vulpinus,S,Alopias vulpinus,3,67,pelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,4.50,spe,FroesePauly2018,fusiform,heterocercal,1.81,spe,FroesePauly2018,1360.00,spe,Cortés2000,bearer,FroesePauly2018,5.1,spe-ocean,FroesePauly2019,3,spe-ocean,FroesePauly2018,558,0.11,spe-LME,FroesePauly2018,480,spe-LME,FroesePauly2018,38.0,spe,FroesePauly2018
Alopiidae,Alopias,vulpinus,S,Alopias vulpinus,3,77,pelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,4.50,spe,FroesePauly2018,fusiform,heterocercal,1.81,spe,FroesePauly2018,1360.00,spe,Cortés2000,bearer,FroesePauly2018,5.1,spe-ocean,FroesePauly2019,3,spe-ocean,FroesePauly2018,558,0.11,spe-LME,FroesePauly2018,480,spe-LME,FroesePauly2018,38.0,spe,FroesePauly2018
Alopiidae,Alopias,vulpinus,S,Alopias vulpinus,6,21,pelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,4.50,spe,FroesePauly2018,fusiform,heterocercal,1.81,spe,FroesePauly2018,1360.00,spe,Cortés2000,bearer,FroesePauly2018,5.1,spe-ocean,FroesePauly2019,3,spe-ocean,FroesePauly2018,558,0.11,spe-ocean,FroesePauly2018,480,spe-LME,FroesePauly2018,38.0,spe,FroesePauly2018
Alopiidae,Alopias,vulpinus,S,Alopias vulpinus,6,31,pelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,4.50,spe,FroesePauly2018,fusiform,heterocercal,1.81,spe,FroesePauly2018,1360.00,spe,Cortés2000,bearer,FroesePauly2018,5.1,spe-ocean,FroesePauly2019,3,spe-ocean,FroesePauly2018,558,0.11,spe-ocean,FroesePauly2018,480,spe-LME,FroesePauly2018,38.0,spe,FroesePauly2018
Alopiidae,Alopias,vulpinus,S,Alopias vulpinus,7,21,pelagic,"FroesePauly2018, OBIS2018",generalist,FroesePauly2018,4.50,spe,FroesePauly2018,fusiform,heterocercal,1.81,spe,FroesePauly2018,1360.00,spe,Cortés2000,bearer,FroesePauly2018,5.1,spe-ocean,FroesePauly2019,3,spe-ocean,FroesePauly2018,558,0.11,spe-ocean,FroesePauly2018,480,spe-LME,FroesePauly2018,38.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,americanus,S,Ammodytes americanus,7,21,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.3,gen-ocean,FroesePauly2019,10630,gen-ocean,FroesePauly2018,26,0.34,gen-FAO,FroesePauly2018,24,spe-FAO,FroesePauly2018,12.0,spe-FAO,FroesePauly2018
Ammodytidae,Ammodytes,dubius,S,Ammodytes dubius,6,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.42,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.3,gen-ocean,FroesePauly2019,10630,gen-ocean,FroesePauly2018,26,0.34,spe-FAO,FroesePauly2018,37,spe-FAO,FroesePauly2018,9.0,spe-FAO,FroesePauly2018
Ammodytidae,Ammodytes,dubius,S,Ammodytes dubius,7,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.42,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.3,gen-ocean,FroesePauly2019,10630,gen-ocean,FroesePauly2018,26,0.34,spe-FAO,FroesePauly2018,37,spe-FAO,FroesePauly2018,9.0,spe-FAO,FroesePauly2018
Ammodytidae,Ammodytes,dubius,S,Ammodytes dubius,8,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.42,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.3,gen-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.38,spe-LME,FroesePauly2018,37,spe-LME,FroesePauly2018,9.0,spe-LME,FroesePauly2018
Ammodytidae,Ammodytes,dubius,S,Ammodytes dubius,9,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.42,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.3,gen-ocean,FroesePauly2019,10630,gen-ocean,FroesePauly2018,28,0.33,spe-LME,FroesePauly2018,37,spe-LME,FroesePauly2018,9.0,spe-LME,FroesePauly2018
Ammodytidae,Ammodytes,dubius,S,Ammodytes dubius,18,21,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.42,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.3,gen-ocean,FroesePauly2019,10630,gen-ocean,FroesePauly2018,26,0.34,spe-FAO,FroesePauly2018,37,spe-FAO,FroesePauly2018,9.0,spe-FAO,FroesePauly2018
Ammodytidae,Ammodytes,dubius,S,Ammodytes dubius,19,27,demersal,"FroesePauly2018, OBIS2018",benthivorous,FroesePauly2018,3.20,spe,FroesePauly2018,elongated,forked,1.42,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,3.2,gen-FAO,FroesePauly2019,10630,gen-ocean,FroesePauly2018,26,0.34,spe-ocean,FroesePauly2018,37,spe-ocean,FroesePauly2018,9.0,spe-ocean,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,1,21,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,26,0.34,gen-FAO,FroesePauly2018,30,spe-ocean,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,1,67,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,20,0.50,gen-ocean,FroesePauly2018,30,spe-ocean,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,2,67,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,20,0.50,gen-ocean,FroesePauly2018,30,spe-ocean,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,3,67,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,20,0.50,gen-ocean,FroesePauly2018,30,spe-ocean,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,53,61,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,20,0.50,gen-ocean,FroesePauly2018,30,spe-LME,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,65,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,12450,gen-FAO,FroesePauly2018,19,0.55,gen-FAO,FroesePauly2018,30,spe-FAO,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,65,61,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,20,0.50,gen-ocean,FroesePauly2018,30,spe-FAO,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,hexapterus,S,Ammodytes hexapterus,65,67,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.13,spe,FroesePauly2018,elongated,forked,1.35,spe,FroesePauly2018,0.94,gen,FroesePauly2018,non-guarder,FroesePauly2018,2.5,spe,FroesePauly2019,10630,gen-ocean,FroesePauly2018,20,0.50,gen-ocean,FroesePauly2018,30,spe-ocean,FroesePauly2018,11.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,20,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-FAO,FroesePauly2019,13133,spe-LME,FroesePauly2018,25,0.16,spe-LME,FroesePauly2018,21,spe-FAO,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,21,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-FAO,FroesePauly2019,13133,spe-LME,FroesePauly2018,19,0.46,spe-FAO,FroesePauly2018,21,spe-FAO,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,22,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-LME,FroesePauly2019,13133,spe-LME,FroesePauly2018,19,0.38,spe-LME,FroesePauly2018,19,spe-LME,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,23,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-FAO,FroesePauly2019,13133,spe-LME,FroesePauly2018,18,0.87,spe-LME,FroesePauly2018,19,spe-LME,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,24,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-FAO,FroesePauly2019,13133,spe-LME,FroesePauly2018,16,0.63,spe-LME,FroesePauly2018,21,spe-LME,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,25,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-FAO,FroesePauly2019,13133,spe-LME,FroesePauly2018,19,0.46,spe-FAO,FroesePauly2018,21,spe-FAO,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,marinus,S,Ammodytes marinus,59,27,benthopelagic,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,2.71,spe,FroesePauly2018,elongated,forked,1.45,gen,FroesePauly2018,1.03,spe,FroesePauly2018,non-guarder,FroesePauly2018,3.2,spe-FAO,FroesePauly2019,13133,spe-LME,FroesePauly2018,19,0.46,spe-FAO,FroesePauly2018,21,spe-FAO,FroesePauly2018,10.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,tobianus,S,Ammodytes tobianus,20,27,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.08,spe,FroesePauly2018,elongated,forked,1.07,spe,FroesePauly2018,0.85,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.5,spe-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.65,spe-FAO,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,tobianus,S,Ammodytes tobianus,22,27,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.08,spe,FroesePauly2018,elongated,forked,1.07,spe,FroesePauly2018,0.85,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.5,spe-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.65,spe-FAO,FroesePauly2018,17,spe-LME,FroesePauly2018,7.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,tobianus,S,Ammodytes tobianus,23,27,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.08,spe,FroesePauly2018,elongated,forked,1.07,spe,FroesePauly2018,0.85,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.5,spe-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.64,spe-LME,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,tobianus,S,Ammodytes tobianus,24,27,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.08,spe,FroesePauly2018,elongated,forked,1.07,spe,FroesePauly2018,0.85,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.5,spe-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.66,spe-LME,FroesePauly2018,20,spe-LME,FroesePauly2018,7.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,tobianus,S,Ammodytes tobianus,25,27,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.08,spe,FroesePauly2018,elongated,forked,1.07,spe,FroesePauly2018,0.85,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.5,spe-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.65,spe-FAO,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe,FroesePauly2018
Ammodytidae,Ammodytes,tobianus,S,Ammodytes tobianus,59,27,demersal,"FroesePauly2018, OBIS2018",planktivorous,FroesePauly2018,3.08,spe,FroesePauly2018,elongated,forked,1.07,spe,FroesePauly2018,0.85,spe,FroesePauly2018,non-guarder,FroesePauly2018,1.5,spe-ocean,FroesePauly2019,13133,gen-LME,FroesePauly2018,20,0.65,spe-FAO,FroesePauly2018,20,spe-FAO,FroesePauly2018,7.0,spe,FroesePauly2018
